source_table,keyword,category,occurrences,document_count,attention_label,explanation
influenza_weekly_clean,流感,病种/病原体,4249,4161,常规监测关注,基于官方通报文本字段统计，非社交媒体主观情绪。
influenza_weekly_clean,监测,监测指标,4161,4161,常规监测关注,基于官方通报文本字段统计，非社交媒体主观情绪。
respiratory_weekly_clean,监测,监测指标,3576,3576,常规监测关注,基于官方通报文本字段统计，非社交媒体主观情绪。
respiratory_weekly_clean,流感,病种/病原体,2736,2231,常规监测关注,基于官方通报文本字段统计，非社交媒体主观情绪。
chinacdc_monthly_clean,疫情,风险词,1420,1420,风险关注,基于官方通报文本字段统计，非社交媒体主观情绪。
respiratory_weekly_clean,鼻病毒,病原体,779,779,常规监测关注,基于官方通报文本字段统计，非社交媒体主观情绪。
respiratory_weekly_clean,呼吸道合胞病毒,病原体,459,459,常规监测关注,基于官方通报文本字段统计，非社交媒体主观情绪。
respiratory_weekly_clean,新型冠状病毒,病原体,344,344,常规监测关注,基于官方通报文本字段统计，非社交媒体主观情绪。
respiratory_weekly_clean,副流感病毒,病原体,305,305,常规监测关注,基于官方通报文本字段统计，非社交媒体主观情绪。
respiratory_weekly_clean,人偏肺病毒,病原体,250,250,常规监测关注,基于官方通报文本字段统计，非社交媒体主观情绪。
influenza_weekly_clean,ILI,监测指标,235,235,常规监测关注,基于官方通报文本字段统计，非社交媒体主观情绪。
respiratory_weekly_clean,肺炎支原体,病原体,192,192,常规监测关注,基于官方通报文本字段统计，非社交媒体主观情绪。
respiratory_weekly_clean,腺病毒,病原体,143,143,常规监测关注,基于官方通报文本字段统计，非社交媒体主观情绪。
respiratory_weekly_clean,博卡病毒,病原体,106,106,常规监测关注,基于官方通报文本字段统计，非社交媒体主观情绪。
influenza_weekly_clean,暴发,风险词,88,88,风险关注,基于官方通报文本字段统计，非社交媒体主观情绪。
influenza_weekly_clean,疫情,风险词,88,88,风险关注,基于官方通报文本字段统计，非社交媒体主观情绪。
chinacdc_monthly_clean,流感,病种/病原体,48,48,常规监测关注,基于官方通报文本字段统计，非社交媒体主观情绪。
chinacdc_monthly_clean,监测,监测指标,42,38,常规监测关注,基于官方通报文本字段统计，非社交媒体主观情绪。
chinacdc_monthly_clean,流行性腮腺炎,病种,28,28,常规监测关注,基于官方通报文本字段统计，非社交媒体主观情绪。
chinacdc_monthly_clean,猩红热,病种,28,28,常规监测关注,基于官方通报文本字段统计，非社交媒体主观情绪。
chinacdc_monthly_clean,百日咳,病种,28,28,常规监测关注,基于官方通报文本字段统计，非社交媒体主观情绪。
chinacdc_monthly_clean,肺结核,病种,28,28,常规监测关注,基于官方通报文本字段统计，非社交媒体主观情绪。
chinacdc_monthly_clean,麻疹,病种,28,28,常规监测关注,基于官方通报文本字段统计，非社交媒体主观情绪。
chinacdc_monthly_clean,新型冠状病毒,病原体,16,16,常规监测关注,基于官方通报文本字段统计，非社交媒体主观情绪。
